place_id,name,address,rating,lat,lng,type,review_text,review_rating,review_time,review_author
ChIJt238NgP5pkcR-O3WazRFUSQ,Hermes PaketShop,"Partyland east, Paunsdorfer Allee 1, 04329 Leipzig, Deutschland",3.7,51.3486519,12.4787102,Paketshop,Super freundlich und schnelle Bedienung. Gleich neben Thalia und gegenüber vom Kaufland Eingang,5,vor einem Jahr,Frequent Traveller
ChIJt238NgP5pkcR-O3WazRFUSQ,Hermes PaketShop,"Partyland east, Paunsdorfer Allee 1, 04329 Leipzig, Deutschland",3.7,51.3486519,12.4787102,Paketshop,,5,vor 5 Monaten,Mohamad Nashed
ChIJB9jMiwX5pkcR9yTtV2FH3pc,GLS PaketShop,"Braunstraße 1, 04347 Leipzig, Deutschland",1,51.358961,12.4296422,Paketshop,"Die beiden Mitarbeiter der HEM-Tankstelle nahmen heute, an einem Sonntag gegen 15:00 Uhr, mein Päckchen nicht an. Stattdessen solle ich morgen ab 06:00 Uhr wiederkommen. Die Öffnungszeiten hinsichtlich der Paketannahme sollten entsprechend korrigiert werden.",1,vor 3 Monaten,N. L.
ChIJB9jMiwX5pkcR9yTtV2FH3pc,GLS PaketShop,"Braunstraße 1, 04347 Leipzig, Deutschland",1,51.358961,12.4296422,Paketshop,,1,vor 9 Monaten,Ich “Ich” NurSo
ChIJK1_4XOv3pkcRKVm9TdvNnog,GLS PaketShop,"Großer Marktweg 3, 04178 Leipzig, Deutschland",2,51.34543530000001,12.2652332,Paketshop,"Dieser Shop bietet neben seinem eigentlichen Service auch die Abholung von Paketen.
Am Rollator liegen Pakete welche jeder einfach mitnehmen kann.
Desweiteren finde ich die Öffnungszeiten für Berufstätige Personen mega schlecht. Ausser vielleicht für Leute die den ganzen Tag zuhause hocken.
Ich kann hier die Zusammenarbeit mit Gls nicht nachvollziehen.",2,vor 6 Monaten,Ulli Den
ChIJKe1ccGD3pkcRYSJei0a4WCg,GlasKlar Mobil Paketshop,"Großer Marktweg 3, 04178 Leipzig, Deutschland",5,51.345383,12.2653857,Paketshop,Sehr gute Arbeit. Weiter zu empfehlen.,5,vor 5 Monaten,Hendrik Röder
ChIJMTLOp7L3pkcR3UP4-ymMu6Q,Hermes PaketShop,"Fa. Sanitaetshaus, Miltitzer Str. 13, 04178 Leipzig, Deutschland",2.5,51.3476486,12.2651396,Paketshop,"Sollten Samstag bis 20 Uhr geöffnet haben, laut Zettel ab 16:00 geschlossen 😡",1,vor 3 Jahren,Hans Dampf
ChIJMTLOp7L3pkcR3UP4-ymMu6Q,Hermes PaketShop,"Fa. Sanitaetshaus, Miltitzer Str. 13, 04178 Leipzig, Deutschland",2.5,51.3476486,12.2651396,Paketshop,Öffnungszeiten für Samstag im Internet bis 20:00 Uhr ... aber vor Ort steht Samstags bis 16:00 Uhr.,3,vor 3 Jahren,Canna Zonas
ChIJMTLOp7L3pkcR3UP4-ymMu6Q,Hermes PaketShop,"Fa. Sanitaetshaus, Miltitzer Str. 13, 04178 Leipzig, Deutschland",2.5,51.3476486,12.2651396,Paketshop,"Öfnungszeiten Montag bis Freitag 9:00 bis 19:45
Laden war 19:35 schon geschlossen und dunkel.",1,vor 6 Jahren,TatraFreak
ChIJMTLOp7L3pkcR3UP4-ymMu6Q,Hermes PaketShop,"Fa. Sanitaetshaus, Miltitzer Str. 13, 04178 Leipzig, Deutschland",2.5,51.3476486,12.2651396,Paketshop,,5,vor 4 Jahren,Loreen Börner
ChIJoWbID773pkcRX9GSSQOwWz8,DHL Paketshop 596,"Rewe Markt, Ludwigsburger Str. 9, 04209 Leipzig, Deutschland",4.1,51.3205074,12.2894598,Paketshop,"Ich möchte mich heute noch mal über den kleinen Paketshop äußern.
Vor eine ganzen Weile, am ersten Tag dort für mich war ich leider etwas ungerecht. Ich war etwas gestresst und ungeduldig und so bin ich mit einer jungen Mitarbeiterin aneinandergeraten. Sicher auch ein Missverständnis, aber ich habe in meiner Situation diesen DHL Shop negativ bewertet.
Das will ich heute korrigieren. Der Shop ist immer noch klein, aber es funktioniert sehr gut, die Mitarbeiter sind nett und geben sich Mühe. Für mich habe ich eine Zeit gefunden in der ich gar keine Wartezeit mehr habe, gleich 8Uhr.
Im Vergleich zur ehemaligen Post im Allee Center, wo man generell ewig gestanden hat ist dieser Shop eine klare Empfehlung.😊👍",5,vor einem Jahr,Matthias Gralapp
ChIJoWbID773pkcRX9GSSQOwWz8,DHL Paketshop 596,"Rewe Markt, Ludwigsburger Str. 9, 04209 Leipzig, Deutschland",4.1,51.3205074,12.2894598,Paketshop,"1 Stern ist noch zu viel, wer da Pakete oder ähnliches abgeben möchte, sollte dies lieber bei der Post machen.

Unfähig eine Briefmarke draufzulegen... minuten langes suchen um zu sehen was man bezahlt...

Unfreundlicher Umgangston, Päckchen fallen gelassen.

Nie wieder, da bleibe ich lieber bei der Post...",1,vor 2 Jahren,Geht Dich Nix An
ChIJoWbID773pkcRX9GSSQOwWz8,DHL Paketshop 596,"Rewe Markt, Ludwigsburger Str. 9, 04209 Leipzig, Deutschland",4.1,51.3205074,12.2894598,Paketshop,Wartezeit von über 15 (!) Minuten um ein Retourenpäckchen entgegen zu nehmen. Dazu eine ältere Mitarbeiterin die von Freundlichkeit noch nie etwas gehört hat.,1,vor 2 Jahren,Henry
ChIJoWbID773pkcRX9GSSQOwWz8,DHL Paketshop 596,"Rewe Markt, Ludwigsburger Str. 9, 04209 Leipzig, Deutschland",4.1,51.3205074,12.2894598,Paketshop,Laut Google habt Ihr 7⁰⁰ Uhr geöffnet. Jetzt stehe ich hier vor verschlossenen Türen 😠,1,vor 3 Jahren,Swag Isback
ChIJoWbID773pkcRX9GSSQOwWz8,DHL Paketshop 596,"Rewe Markt, Ludwigsburger Str. 9, 04209 Leipzig, Deutschland",4.1,51.3205074,12.2894598,Paketshop,Die Dekoration war super. Sie lassen sich immer was einfallen .,5,vor 3 Jahren,Iris Navel
ChIJnz1rUrT3pkcRH3EbU7hDyCY,Hermes PaketShop,"Habki im PEP, Stuttgarter Allee 41, 04209 Leipzig, Deutschland",3.4,51.32284929999999,12.2884703,Paketshop,"Ich habe hier schon mehrmals meine Pakete abgeholt und wurde immer freundlich bedient.
Doch heute wurde ich von einer Frau bedient, welche scheinbar ihren Job nicht gerne macht.
Bereits zur Begrüßung wurde mir deutlich gemacht, dass jetzt schon wieder der nächste wegen einem Paket kommt und sie darauf wohl keine Lust hat. Im ersten Augenblick hat sie mein Paket nicht gefunden. Als ich meinte, es kam bereits vor 5 Tagen, wurde ich von ihr angemotzt, warum ich es dann nicht schon eher geholt habe. Also entschuldigung, aber wenn das Paket am Wochenende kommt und dann auch noch ein Feiertag dazwischen ist, hat man leider auch nicht jeden Tag Zeit um es abzuholen. Dann sollte ich schauen ob ich meinen Namen selber finde, habe ihn aber hinter der Wand nicht direkt gesehen, später habe ich ihn dann allerdings doch gefunden und dann wurde ich von der Frau noch angemeckert warum ich nicht eher was gesagt habe, dass da das Paket ist. Dann wurde mir unterstellt dass ich gedrängelt habe obwohl ich die Frau sogar andere Kunden zwischenzeitlich bedienen lassen habe. Dann kam noch hinzu dass sie meinte ich solle einfach gehen weil das Paket nicht da ist und ich soll einfach so lange sonst da stehen bis der Chef kommt. Ich fand das sehr frech, weil ich habe die Kollegin nicht bedrängt, ich habe ihr Zeit gegeben und ich habe einfach nur gesagt dass ich gerne mein Paket haben möchte und ich Angst habe dass es wieder zurückgeschickt wird. Ich fand das einfach sehr frech von ihr und ich finde in einem Laden wo es auch um Service geht ist das Verhalten auf jeden Fall nicht akzeptabel.",1,vor 4 Monaten,Jennifer Jahn
