bezirk,brw,nutzung,stichtag,anwert,verfahrensart,gfz,beitragszustand,lumnum,brwid
Steglitz-Zehlendorf,400,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1584
Steglitz-Zehlendorf,1800,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1585
Pankow,950,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1586
Pankow,800,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1587
Charlottenburg-Wilmersdorf,1500,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1588
Pankow,950,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1589
Steglitz-Zehlendorf,400,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1590
Steglitz-Zehlendorf,450,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1594
Pankow,710,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1595
Friedrichshain-Kreuzberg,2400,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1596
Spandau,600,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1597
Steglitz-Zehlendorf,1800,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1598
Pankow,630,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1599
Steglitz-Zehlendorf,1600,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1602
Tempelhof-Schöneberg,650,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1603
Treptow-Köpenick,1100,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1605
Spandau,650,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1606
Steglitz-Zehlendorf,1700,W - Wohngebiet,2026-01-01,,,0.1,Beitragsfrei nach BauGB,,1607
Steglitz-Zehlendorf,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1609
Spandau,600,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1610
Pankow,590,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1611
Steglitz-Zehlendorf,1400,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1613
Mitte,1500,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1614
Steglitz-Zehlendorf,1700,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1615
Tempelhof-Schöneberg,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1616
Pankow,590,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1618
Lichtenberg,800,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1619
Steglitz-Zehlendorf,1300,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1620
Spandau,600,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1621
Neukölln,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1622
Pankow,490,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1623
Treptow-Köpenick,850,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1625
Treptow-Köpenick,900,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1626
Pankow,710,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1627
Steglitz-Zehlendorf,1500,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1628
Steglitz-Zehlendorf,600,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1629
Steglitz-Zehlendorf,1400,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1631
Tempelhof-Schöneberg,300,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1634
Spandau,700,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1635
Mitte,1900,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1636
Mitte,600,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1637
Treptow-Köpenick,850,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1638
Pankow,500,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1639
Steglitz-Zehlendorf,1200,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1640
Charlottenburg-Wilmersdorf,1400,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1641
Mitte,600,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1642
Steglitz-Zehlendorf,1000,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1643
Treptow-Köpenick,900,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1644
Steglitz-Zehlendorf,950,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1646
Treptow-Köpenick,1000,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1647
Charlottenburg-Wilmersdorf,2100,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1648
Pankow,360,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1649
Mitte,3500,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1650
Pankow,480,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1651
Steglitz-Zehlendorf,1200,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1653
Mitte,1500,G - Gewerbe,2026-01-01,,,2,Beitragsfrei nach BauGB,,1655
Spandau,650,W - Wohngebiet,2026-01-01,,,1.3,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1657
Steglitz-Zehlendorf,1300,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1658
Pankow,480,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1659
Spandau,650,W - Wohngebiet,2026-01-01,,,1.3,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1660
Lichtenberg,950,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1661
Tempelhof-Schöneberg,500,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1662
Steglitz-Zehlendorf,1000,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1663
Pankow,340,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1664
Spandau,650,W - Wohngebiet,2026-01-01,,,1.3,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1665
Steglitz-Zehlendorf,950,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1666
Tempelhof-Schöneberg,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1667
Lichtenberg,850,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1668
Pankow,340,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1669
Treptow-Köpenick,1000,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1670
Tempelhof-Schöneberg,800,W - Wohngebiet,2026-01-01,,,1.3,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1671
Pankow,480,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1672
Steglitz-Zehlendorf,1200,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,1673
Pankow,480,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1674
Pankow,1900,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1675
Charlottenburg-Wilmersdorf,1100,W - Wohngebiet,2026-01-01,,,1.3,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1676
Tempelhof-Schöneberg,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1677
Steglitz-Zehlendorf,850,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1678
Steglitz-Zehlendorf,950,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1679
Lichtenberg,300,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1680
Neukölln,850,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1681
Pankow,480,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1682
Pankow,1500,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1683
Tempelhof-Schöneberg,850,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1685
Steglitz-Zehlendorf,950,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1686
Pankow,480,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1687
Pankow,1900,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1688
Steglitz-Zehlendorf,850,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1689
Pankow,480,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1690
Spandau,1300,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1691
Pankow,200,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1693
Mitte,1600,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1694
Pankow,1300,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1695
Pankow,250,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1696
Pankow,280,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1697
Steglitz-Zehlendorf,850,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1698
Pankow,340,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1699
Reinickendorf,450,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1700
Pankow,1000,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1701
Steglitz-Zehlendorf,950,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1702
Neukölln,1400,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1703
Reinickendorf,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1704
Pankow,280,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1705
Steglitz-Zehlendorf,950,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1706
Mitte,4000,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1707
Steglitz-Zehlendorf,850,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1709
Pankow,280,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1710
Treptow-Köpenick,1900,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1712
Spandau,1000,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1713
Spandau,1200,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1714
Neukölln,300,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1715
Treptow-Köpenick,2200,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1716
Pankow,280,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1717
Steglitz-Zehlendorf,850,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1718
Spandau,1000,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1719
Steglitz-Zehlendorf,300,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1720
Steglitz-Zehlendorf,640,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1721
Pankow,900,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1722
Steglitz-Zehlendorf,510,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1724
Spandau,1200,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1725
Marzahn-Hellersdorf,530,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1726
Treptow-Köpenick,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1727
Pankow,1600,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1728
Steglitz-Zehlendorf,510,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,1731
Spandau,1000,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1732
Marzahn-Hellersdorf,430,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1733
Steglitz-Zehlendorf,510,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1734
Marzahn-Hellersdorf,530,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1735
Pankow,300,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1736
Spandau,1000,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1738
Pankow,2000,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1739
Lichtenberg,1600,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1740
Spandau,1200,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1741
Marzahn-Hellersdorf,430,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1742
Steglitz-Zehlendorf,300,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1743
Pankow,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1744
Steglitz-Zehlendorf,1700,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1745
Marzahn-Hellersdorf,430,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1746
Pankow,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1748
Friedrichshain-Kreuzberg,2700,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1749
Pankow,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1750
Steglitz-Zehlendorf,1400,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1751
Marzahn-Hellersdorf,400,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1754
Marzahn-Hellersdorf,500,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,,1755
Mitte,1200,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1756
Marzahn-Hellersdorf,420,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1757
Lichtenberg,200,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1759
Steglitz-Zehlendorf,1200,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1760
Steglitz-Zehlendorf,1000,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1762
Treptow-Köpenick,500,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1763
Marzahn-Hellersdorf,530,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1764
Spandau,300,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1766
Tempelhof-Schöneberg,1400,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1767
Marzahn-Hellersdorf,360,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1769
Steglitz-Zehlendorf,1000,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1770
Lichtenberg,500,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1772
Reinickendorf,1400,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1773
Marzahn-Hellersdorf,360,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1774
Steglitz-Zehlendorf,1000,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1775
Friedrichshain-Kreuzberg,2700,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1776
Steglitz-Zehlendorf,1100,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1778
Marzahn-Hellersdorf,530,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1779
Treptow-Köpenick,250,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1780
Mitte,2400,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1782
Pankow,5500,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1783
Steglitz-Zehlendorf,950,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1784
Treptow-Köpenick,250,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1785
Pankow,5000,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1787
Friedrichshain-Kreuzberg,3000,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1788
Steglitz-Zehlendorf,950,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1790
Steglitz-Zehlendorf,900,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1792
Marzahn-Hellersdorf,370,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1793
Mitte,6000,W - Wohngebiet,2026-01-01,,,3,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1794
Tempelhof-Schöneberg,1800,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1795
Lichtenberg,300,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1797
Steglitz-Zehlendorf,950,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1798
Marzahn-Hellersdorf,320,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1800
Marzahn-Hellersdorf,430,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1801
Mitte,7500,M2 - Mischgebiet,2026-01-01,,,3.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1802
Charlottenburg-Wilmersdorf,2500,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1803
Steglitz-Zehlendorf,850,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1804
Steglitz-Zehlendorf,850,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1808
Mitte,6000,W - Wohngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1810
Steglitz-Zehlendorf,850,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1811
Tempelhof-Schöneberg,1800,G - Gewerbe,2026-01-01,,,2,Beitragsfrei nach BauGB,,1812
Charlottenburg-Wilmersdorf,3400,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1813
Marzahn-Hellersdorf,510,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1814
Charlottenburg-Wilmersdorf,2200,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1816
Neukölln,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1817
Steglitz-Zehlendorf,750,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1818
Marzahn-Hellersdorf,440,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1819
Tempelhof-Schöneberg,300,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1820
Steglitz-Zehlendorf,750,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1821
Charlottenburg-Wilmersdorf,2500,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1822
Marzahn-Hellersdorf,490,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1824
Tempelhof-Schöneberg,3400,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1825
Neukölln,2200,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1828
