bezirk,brw,nutzung,stichtag,anwert,verfahrensart,gfz,beitragszustand,lumnum,brwid
Mitte,700,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1089
Charlottenburg-Wilmersdorf,1400,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1091
Mitte,1800,M2 - Mischgebiet,2026-01-01,,,3,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1092
Treptow-Köpenick,450,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1093
Mitte,7500,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1095
Treptow-Köpenick,520,W - Wohngebiet,2026-01-01,,,0.5,Beitragsfrei nach BauGB,,1096
Friedrichshain-Kreuzberg,1500,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1102
Treptow-Köpenick,450,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1104
Treptow-Köpenick,490,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1108
Charlottenburg-Wilmersdorf,1300,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1109
Mitte,550,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1110
Treptow-Köpenick,450,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1111
Mitte,7000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1115
Reinickendorf,500,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1116
Charlottenburg-Wilmersdorf,1100,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1118
