place_id,name,rating,lat,lng,type,review_text,review_rating,review_time,review_author
ChIJLwSXYKxTqEcR1aehl7W0BfQ,DHL Packstation 137,3.6,52.5767234,13.3257838,DHL Packstation,"Gut erreichbar , auch Parkplätze vorhanden 😎",5,vor einem Jahr,Michael Krone
ChIJLwSXYKxTqEcR1aehl7W0BfQ,DHL Packstation 137,3.6,52.5767234,13.3257838,DHL Packstation,"Ich bin verwundert , da war ich gar nicht !?!?! 🤷‍♀️",1,vor 2 Jahren,hab kein
ChIJLwSXYKxTqEcR1aehl7W0BfQ,DHL Packstation 137,3.6,52.5767234,13.3257838,DHL Packstation,Gute İdee von DHL,5,vor 2 Jahren,Esenevler Ümraniye
ChIJLUAzmo9TqEcRG-mLYVxncWE,DHL Packstation 228,4.3,52.57953149999999,13.3352944,DHL Packstation,"! ACHTUNG DEFEKT ! Display zeigt an, das sich dass Fach öffnet aber es öffnet sich nicht. Anschliessend zeigt die Packstation die Sendung als entnommen an (auch online) . Nochmaliges Öffnen des Faches ist NICHT möglich. Der Kundenservice kann nix tun außer einen darauf zu verweisen das man sich mit dem Versender in Kontakt setzen soll damit dieser einen Nachforschungsauftrag stellt.
Mal sehen ob ich jetzt 57 EUR in den Sand gesetzt hab.
Ich rate von weiterer Verwendung der Station ab.",1,vor 5 Jahren,Martin Repke
ChIJLUAzmo9TqEcRG-mLYVxncWE,DHL Packstation 228,4.3,52.57953149999999,13.3352944,DHL Packstation,Bis jetzt immer alles wunderbar geklappt das Display spinnt momentan ein wenig wenn man unterschreiben möchte kommen nur Punkte. Aber sonst alles perfekt und zuverlässig.,5,vor 4 Jahren,Reeasy
ChIJLUAzmo9TqEcRG-mLYVxncWE,DHL Packstation 228,4.3,52.57953149999999,13.3352944,DHL Packstation,Durch den Parkplatz quasi eine Drive-In-Packstation: Für mich sehr praktisch.,5,vor 10 Jahren,Oliver Wolters
ChIJLUAzmo9TqEcRG-mLYVxncWE,DHL Packstation 228,4.3,52.57953149999999,13.3352944,DHL Packstation,Sehr gut erreichbar und ist von zwei Seiten anfahrbar.,5,vor 5 Jahren,Deniz Oral
ChIJLUAzmo9TqEcRG-mLYVxncWE,DHL Packstation 228,4.3,52.57953149999999,13.3352944,DHL Packstation,"Hat prima geklappt.
Kann ich nur weiterempfehlen.",5,vor 6 Jahren,Meinhotte
ChIJ8evG5_1TqEcR6eiBUezJg2Q,DHL Packstation 262,4,52.560389,13.3322361,DHL Packstation,"Achtung, derzeit (Stand 17.06.2025) ist diese Packstation 262 defekt! Bitte auch melden nach Login auf dhl.de unter ""Hilfe und Kontakt"" -> ""Packstation"" -> ""Probleme & Lösungen"" -> runterscrollen zu ""Hier geht es zum Kontakt"" -> ""Schreiben Sie uns""",4,vor 9 Monaten,Sinan Recber
ChIJ8evG5_1TqEcR6eiBUezJg2Q,DHL Packstation 262,4,52.560389,13.3322361,DHL Packstation,"75 % meiner Pakete an diese Packstation wurden an irgendwelchen, bis 1,5 km entfernten Packstationen abgelegt.",3,vor einem Jahr,Dirk S
ChIJ8evG5_1TqEcR6eiBUezJg2Q,DHL Packstation 262,4,52.560389,13.3322361,DHL Packstation,"Wenn man die Packstation gefunden gut. Sauber, nicht beschmiert",4,vor 9 Monaten,Katharina Weber
ChIJ8evG5_1TqEcR6eiBUezJg2Q,DHL Packstation 262,4,52.560389,13.3322361,DHL Packstation,,4,vor 3 Monaten,Dzhyuneyt Hyusein
ChIJ8evG5_1TqEcR6eiBUezJg2Q,DHL Packstation 262,4,52.560389,13.3322361,DHL Packstation,,5,vor 6 Monaten,Lami Mustafa Şahin
ChIJzxygSpJTqEcR5bksQ8LihP0,DHL Packstation 609,4.3,52.576299,13.3145657,DHL Packstation,"Das ist eine wirklich tolle Packstation, man kann fix mit dem Auto ran fahren und das Touchpad funktioniert perfekt.",5,vor 4 Jahren,Philipp Nitzsche
ChIJzxygSpJTqEcR5bksQ8LihP0,DHL Packstation 609,4.3,52.576299,13.3145657,DHL Packstation,Super 👌,5,vor einem Jahr,Kasia Stopa
ChIJzxygSpJTqEcR5bksQ8LihP0,DHL Packstation 609,4.3,52.576299,13.3145657,DHL Packstation,,5,vor 5 Monaten,Aman Bakri
ChIJzxygSpJTqEcR5bksQ8LihP0,DHL Packstation 609,4.3,52.576299,13.3145657,DHL Packstation,,4,vor 8 Monaten,aneta hartmann
ChIJzxygSpJTqEcR5bksQ8LihP0,DHL Packstation 609,4.3,52.576299,13.3145657,DHL Packstation,,1,vor einem Jahr,Rainer Eichhorst
ChIJTbqMn9pVqEcRByh0v7E9exU,DHL Packstation 408,5,52.571121,13.3066161,DHL Packstation,"Die Station war gut zu finden die Bedienung war auch OK, mit der Anleitung vom Brief was wir zugeschickt bekommen haben. Ging schnell und unkompliziert. Auf dem Weg zur Packstation haben wir eine gesehen die war näher an unsere Adresse, da haben wir uns gefragt warum unser Päckchen nicht da rein gemacht wurde.  Sonst alles supi",5,vor einer Woche,Cyndi Hoffmann
ChIJTbqMn9pVqEcRByh0v7E9exU,DHL Packstation 408,5,52.571121,13.3066161,DHL Packstation,,5,vor 2 Wochen,Arnold Arbuz
ChIJ2-3WuGtTqEcRcvEJ9bAhgZ0,DHL Packstation 233,5,52.5698453,13.3495777,DHL Packstation,,5,vor einem Monat,Gökmen Y.
ChIJ2-3WuGtTqEcRcvEJ9bAhgZ0,DHL Packstation 233,5,52.5698453,13.3495777,DHL Packstation,,5,vor einem Jahr,Katja Wegner
ChIJn32nNIZPqEcRYvPIpU_ednU,DHL Packstation 420,3.4,52.5808726,13.3470331,DHL Packstation,"Der QR Code lässt sich nicht scannen. Statt dessen muss man den 10 Stelligen Code e eingeben. Einen Fortschritt gegenüber Karte scannen und 4 Stelligen Zahlencode eingeben kann ich nicht erkennen.
Schade",3,vor 4 Jahren,Christian Richter
ChIJn32nNIZPqEcRYvPIpU_ednU,DHL Packstation 420,3.4,52.5808726,13.3470331,DHL Packstation,"Katastrophe, es funktioniert gar nichts. Und, ich bin dort nicht zum ersten Mal. Da dort nie etwas richtig funktioniert hat, bin ich zu einem sogenannten Späti gegangen, nun hat der zu gemacht und das Theater geht von vorn los.",1,vor 2 Jahren,Silvia
ChIJn32nNIZPqEcRYvPIpU_ednU,DHL Packstation 420,3.4,52.5808726,13.3470331,DHL Packstation,Alles perfekt,5,vor 2 Jahren,Simon Graf von Brühl
ChIJn32nNIZPqEcRYvPIpU_ednU,DHL Packstation 420,3.4,52.5808726,13.3470331,DHL Packstation,Diese Packstation existiert nicht mehr!!!,1,vor 3 Wochen,Michael Bud.
ChIJn32nNIZPqEcRYvPIpU_ednU,DHL Packstation 420,3.4,52.5808726,13.3470331,DHL Packstation,Gute übliche Packstation.,3,vor 4 Jahren,Quang Dang
ChIJlTBumYVTqEcRtV1mAnpCXJU,DHL Packstation 206,3.5,52.57038250000001,13.307359,DHL Packstation,Wie jede Stelle simpel und einfach.mehr ist es nicht.,3,vor 6 Monaten,Sven Hochhaus
ChIJlTBumYVTqEcRtV1mAnpCXJU,DHL Packstation 206,3.5,52.57038250000001,13.307359,DHL Packstation,Funktioniert einwandfrei :),5,vor einem Jahr,A. R.J
ChIJlTBumYVTqEcRtV1mAnpCXJU,DHL Packstation 206,3.5,52.57038250000001,13.307359,DHL Packstation,,1,vor 9 Monaten,Julia P.
ChIJlTBumYVTqEcRtV1mAnpCXJU,DHL Packstation 206,3.5,52.57038250000001,13.307359,DHL Packstation,,5,vor einem Jahr,Marco Reimer
ChIJz4ZVZ0NTqEcRz0BZ__6Rq4I,DHL Packstation 216,3.3,52.55499,13.3378801,DHL Packstation,"Warum wurde mein Paket in eine Packstation geliefert, obwohl ich weder eine Benachrichtigungskarte noch die DHL-App habe? Wie soll ich mein Paket abholen, wenn mir der Abholcode nicht mitgeteilt wurde? Warum wurde das Paket nicht einfach in einen Paketshop gebracht, wo eine Abholung ohne App oder Code möglich ist?

Ich bitte um eine klare Erklärung, wie ich in einem solchen Fall an meine Sendung kommen soll. Dieses Vorgehen ist absolut unverständlich und nicht kundenfreundlich.",1,vor 12 Monaten,Andrii O.
ChIJz4ZVZ0NTqEcRz0BZ__6Rq4I,DHL Packstation 216,3.3,52.55499,13.3378801,DHL Packstation,Hab da schon 4 mal Sachen hinbestellt die gingen immer zum Absender zurück!! Die ersten drei male war sie auch inaktiv glaub ich aber jetzt leuchtet das Licht an der Station sogar und ich dachte sie geht endlich aber ne. was soll das?,1,vor 2 Jahren,Janis S.
ChIJz4ZVZ0NTqEcRz0BZ__6Rq4I,DHL Packstation 216,3.3,52.55499,13.3378801,DHL Packstation,"Die DHL Packstation 216 in der Togostraße war super einfach. Die App zeigte alles übersichtlich an, die Abholung ging schnell und mein Kind war begeistert von dem kleinen Park in der Nähe.",5,vor 7 Monaten,Sathya Appuraj
ChIJz4ZVZ0NTqEcRz0BZ__6Rq4I,DHL Packstation 216,3.3,52.55499,13.3378801,DHL Packstation,,5,in der letzten Woche,nate22i
ChIJz4ZVZ0NTqEcRz0BZ__6Rq4I,DHL Packstation 216,3.3,52.55499,13.3378801,DHL Packstation,,3,vor einem Monat,Jörg Cordes
